artists_id,acousticness,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,uri,valence,release_date,artists_name,genres,release_year
5U16QlMnlSAhkQxBZpLyLO,0.419,0.689,1.0,136905.0,0.715,https://api.spotify.com/v1/tracks/6tQiTNUD3qgZPDqAml3wFy,6tQiTNUD3qgZPDqAml3wFy,0.0,9.0,0.239,-9.431,0.0,Get Yourself Home,Acid Blues,26.0,https://p.scdn.co/mp3-preview/d11b0baa88a3fc9a673223f57c05793cd0bccbf8?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0732,103.182,4.0,https://api.spotify.com/v1/tracks/6tQiTNUD3qgZPDqAml3wFy,6tQiTNUD3qgZPDqAml3wFy,0.731,1965,The Pretty Things,"['art rock', 'blues-rock', 'british blues', 'british invasion', 'classic garage rock', 'classic rock', 'experimental', 'experimental rock', 'folk rock', 'freakbeat', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock']",1965.0
2CvCyf1gEVhI0mX6aFXmVI,0.112,0.712,1.0,187400.0,0.632,https://api.spotify.com/v1/tracks/5vZ1BKMSLgrxxPYGMR904n,5vZ1BKMSLgrxxPYGMR904n,0.0,9.0,0.0648,-7.704,1.0,Mother and Child Reunion,Canicule,54.0,https://p.scdn.co/mp3-preview/5355faf4f051ec8bd624eec9d874da9b91566171?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0334,119.931,4.0,https://api.spotify.com/v1/tracks/5vZ1BKMSLgrxxPYGMR904n,5vZ1BKMSLgrxxPYGMR904n,0.764,1972-01-14,Paul Simon,"['classic rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",1972.0
33QmoCkSqADuQEtMCysYLh,0.668,0.78,1.0,163716.0,0.524,https://api.spotify.com/v1/tracks/6l5D1WC6kR5cxaUOEyCGvs,6l5D1WC6kR5cxaUOEyCGvs,6.47e-05,2.0,0.293,-12.072,1.0,"Sugar, Sugar",Jukebox Jives,64.0,https://p.scdn.co/mp3-preview/c7481acda4c16e23d523b67379c750f11575bbd3?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0321,124.181,4.0,https://api.spotify.com/v1/tracks/6l5D1WC6kR5cxaUOEyCGvs,6l5D1WC6kR5cxaUOEyCGvs,0.953,1968-01-15,The Archies,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']",1968.0
7dedWAqd0IKTdCiqiadUrV,0.75,0.567,1.0,162320.0,0.672,https://api.spotify.com/v1/tracks/6Ln9F9lZNMgV5Ht87z9Bd0,6Ln9F9lZNMgV5Ht87z9Bd0,0.0837,10.0,0.367,-7.666,1.0,I'll Never Find Another You,Jukebox Jives,49.0,https://p.scdn.co/mp3-preview/41111c2b1156492e8f29008dc1830f3ce7fe3913?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0336,126.509,4.0,https://api.spotify.com/v1/tracks/6Ln9F9lZNMgV5Ht87z9Bd0,6Ln9F9lZNMgV5Ht87z9Bd0,0.79,2007-03-26,The Seekers,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'christmas', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'traditional folk']",2007.0
6nKqt1nbSBEq3iUXD1Xgz8,0.803,0.48,1.0,186387.0,0.542,https://api.spotify.com/v1/tracks/3GdToSzgYd9DKnZEH2YdIg,3GdToSzgYd9DKnZEH2YdIg,0.0,4.0,0.147,-9.873,1.0,Downtown,Jukebox Jives,51.0,https://p.scdn.co/mp3-preview/514cf36126a4c91569f806ecb1f9b83126a7aa0c?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0428,118.301,4.0,https://api.spotify.com/v1/tracks/3GdToSzgYd9DKnZEH2YdIg,3GdToSzgYd9DKnZEH2YdIg,0.614,1996-01-01,Petula Clark,"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll']",1996.0
0N5PyKJzS3M1XNlaCL7bbE,0.00585,0.577,1.0,171600.0,0.853,https://api.spotify.com/v1/tracks/0Q0E6Xe8OvefYLYfVPfRhs,0Q0E6Xe8OvefYLYfVPfRhs,0.00699,10.0,0.0612,-8.097,0.0,Engine Number 9 - Single Version,Crate Diggers Anonymous,39.0,https://p.scdn.co/mp3-preview/b3d5d9aef4ba1a56d882c06c107bc8d6928fe8ec?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.112,191.255,4.0,https://api.spotify.com/v1/tracks/0Q0E6Xe8OvefYLYfVPfRhs,0Q0E6Xe8OvefYLYfVPfRhs,0.882,1970,Wilson Pickett,"['adult standards', 'brill building pop', 'christmas', 'classic rock', 'classic soul', 'disco', 'folk rock', 'funk', 'memphis soul', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul']",1970.0
5m8H6zSadhu1j9Yi04VLqD,0.297,0.661,1.0,141733.0,0.617,https://api.spotify.com/v1/tracks/7hucUAptItoDy8HVGj2Mdo,7hucUAptItoDy8HVGj2Mdo,1.43e-05,5.0,0.0642,-9.9,0.0,Advice,Crate Diggers Anonymous,16.0,https://p.scdn.co/mp3-preview/fa427e23df864af499896cee8317d786b9653ccc?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.105,99.047,4.0,https://api.spotify.com/v1/tracks/7hucUAptItoDy8HVGj2Mdo,7hucUAptItoDy8HVGj2Mdo,0.917,2013-08-23,Sly & The Family Stone,"['brill building pop', 'classic rock', 'classic soul', 'disco', 'folk rock', 'funk', 'motown', 'psychedelic rock', 'rock', 'soul', 'southern soul']",2013.0
3IZrrNonYELubLPJmqOci2,0.227,0.716,1.0,150790.0,0.529,https://api.spotify.com/v1/tracks/72WBu3udxgfDrCpjq02k5U,72WBu3udxgfDrCpjq02k5U,0.0,5.0,0.106,-10.414,1.0,Happy,Crate Diggers Anonymous,16.0,https://p.scdn.co/mp3-preview/55201558d1e703d4a20238d2f534805e16e67e82?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0764,122.522,4.0,https://api.spotify.com/v1/tracks/72WBu3udxgfDrCpjq02k5U,72WBu3udxgfDrCpjq02k5U,0.799,2006-04-25,Nancy Sinatra,"['adult standards', 'brill building pop', 'christmas', 'folk rock', 'lounge']",2006.0
3IZrrNonYELubLPJmqOci2,0.951,0.32,1.0,172617.0,0.227,https://api.spotify.com/v1/tracks/2kT26bUTYTZ0vHpfyUwUEv,2kT26bUTYTZ0vHpfyUwUEv,0.0263,10.0,0.125,-14.947,0.0,The Shadow Of Your Smile,Crate Diggers Anonymous,31.0,https://p.scdn.co/mp3-preview/af373f703f2205dd9f25159aa5adb44eb7ba2280?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0304,184.437,4.0,https://api.spotify.com/v1/tracks/2kT26bUTYTZ0vHpfyUwUEv,2kT26bUTYTZ0vHpfyUwUEv,0.297,1966,Nancy Sinatra,"['adult standards', 'brill building pop', 'christmas', 'folk rock', 'lounge']",1966.0
0ECwFtbIWEVNwjlrfc6xoL,0.536,0.632,1.0,173057.0,0.397,https://api.spotify.com/v1/tracks/3Ff1bUsAWYtgnDMTjYWtbT,3Ff1bUsAWYtgnDMTjYWtbT,0.0421,7.0,0.106,-12.855,1.0,Tequila Sunrise - Eagles 2013 Remaster,Indie Games,42.0,https://p.scdn.co/mp3-preview/dd0213cff3de901d4141f1a8f5c516c81f90161f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0265,110.578,4.0,https://api.spotify.com/v1/tracks/3Ff1bUsAWYtgnDMTjYWtbT,3Ff1bUsAWYtgnDMTjYWtbT,0.731,2003,Eagles,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",2003.0
